TF,TargetGene,Library/PMID,Tissue,Paper Links
JUN,CYP2J2,12737630; 16008525,Liver,"https://pubmed.ncbi.nlm.nih.gov/12737630/,https://pubmed.ncbi.nlm.nih.gov/16008525/"
AHR,CYP1A1,12213390; 9865727,Liver,"https://pubmed.ncbi.nlm.nih.gov/12213390/ , https://pubmed.ncbi.nlm.nih.gov/9865727/"
AHR,CYP1A1,17012224,Lung,https://pubmed.ncbi.nlm.nih.gov/17012224/
AHR,CYP1A1,10359656,Mammary Gland,https://pubmed.ncbi.nlm.nih.gov/10359656/
AHR,CYP1A1,12376470,Mammary Gland,https://pubmed.ncbi.nlm.nih.gov/12376470/
AHR,CYP1A1,15325265,"Colon, Rectum",https://pubmed.ncbi.nlm.nih.gov/15325265/
AHR,CYP1A1,19376845,"Liver, Mammary Gland",https://pubmed.ncbi.nlm.nih.gov/19376845/
AHR,CYP1A1,21357676,Liver,https://pubmed.ncbi.nlm.nih.gov/21357676/
AHR,CYP1A1,24639079,Skin,https://pubmed.ncbi.nlm.nih.gov/24639079/
AHR,CYP1A1,8631128,"Liver, Mammary Gland",https://pubmed.ncbi.nlm.nih.gov/8631128/
AHR,CYP1A1,9698073,Mammary Gland,https://pubmed.ncbi.nlm.nih.gov/9698073/
ARNT,CYP1A1,22387692,Liver,https://pubmed.ncbi.nlm.nih.gov/22387692/
ARNT,CYP1A1,22387692,Liver,https://pubmed.ncbi.nlm.nih.gov/22387692/
ARNT,CYP1A1,12376470,Mammary Gland,https://pubmed.ncbi.nlm.nih.gov/12376470/
ARNT,CYP1A1,19255421,Skin,https://pubmed.ncbi.nlm.nih.gov/19255421/
ARNT,CYP1A1,8631128,"Liver, Mammary Gland",https://pubmed.ncbi.nlm.nih.gov/8631128/
ARNT,CYP1A1,19376845,"Liver, Mammary Gland",https://pubmed.ncbi.nlm.nih.gov/19376845/
NFIC,CYP1A1,10490621,Liver,https://pubmed.ncbi.nlm.nih.gov/10490621/
BRCA1,CYP1A1,16567799,Mammary Gland,https://pubmed.ncbi.nlm.nih.gov/16567799/
ESR1,CYP1A1,15837795,Mammary Gland,https://pubmed.ncbi.nlm.nih.gov/15837795/
KLF4,CYP1A1,9651398,Ovary,https://pubmed.ncbi.nlm.nih.gov/9651398/
NFKB1,CYP1A1,19928584,Liver,https://pubmed.ncbi.nlm.nih.gov/19928584/
PPARA,CYP1A1,15521013,"Liver, Lung",https://pubmed.ncbi.nlm.nih.gov/15521013/
RARA,CYP1A1,15325265,"Colon, Rectum",https://pubmed.ncbi.nlm.nih.gov/15325265/
RELA,CYP1A1,19928584,Liver,https://pubmed.ncbi.nlm.nih.gov/19928584/
USF1,CYP1A1,9388470,Liver,https://pubmed.ncbi.nlm.nih.gov/9388470/
VDR,CYP1A1,22837390,Leukocytes,https://pubmed.ncbi.nlm.nih.gov/22837390/
FOS,CYP1A2,12135113,Liver,https://pubmed.ncbi.nlm.nih.gov/12135113/
HNF1A,CYP1A2,7723729,"Liver, Mammary Gland",https://pubmed.ncbi.nlm.nih.gov/7723729/
JUN,CYP1A2,12135113,Liver,https://pubmed.ncbi.nlm.nih.gov/12135113/
AHR,CYP1B1,16115918; ,Prostate,"https://pubmed.ncbi.nlm.nih.gov/16115918/ , "
AHR,CYP1B1,19287966,"Colon, Rectum",https://pubmed.ncbi.nlm.nih.gov/19287966/
AHR,CYP1B1,12376470; 19376845; 21742528; 24299737,Mammary Gland,https://pubmed.ncbi.nlm.nih.gov/12376470/
AHR,CYP1B1,19376845,"Mammary Gland, Liver",https://pubmed.ncbi.nlm.nih.gov/19376845/
AHR,CYP1B1,21742528,Leukocytes,https://pubmed.ncbi.nlm.nih.gov/21742528/
AHR,CYP1B1,24299737,Mammary Gland,https://pubmed.ncbi.nlm.nih.gov/24299737/
ARNT,CYP1B1,16115918,Prostate,"https://pubmed.ncbi.nlm.nih.gov/16115918/ , "
