TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
MYC,ACADL,mammarygland,"MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq",,,
GABPA,ACADL,prostate,"GABPA IP | R1881, GABPA IP - Rep 1",,,
R1881,ACADL,prostate,"GABPA IP | R1881, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | GATA2 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, ERG IP | R1881, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2",,,
TBP,ACADL,stemcells,TBP IP - H1 cells,,,
TP63,ACADL,skin,"TP63 IP, TP63 IP, TP63 IP, TP63 IP | BANF1 KD",,,
ZNF263,ACADL,leukocytes,ZNF263 IP - K562 cells,,,
ATF3,ACADL,stemcells,ATF3 IP - H1 cells,,,
ERG,ACADL,prostate,"DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq, ERG ChIP-Seq, ERG IP | R1881, DMSO | ERG ChIP-Seq - Rep 2",,,
DHT,ACADL,prostate,"DHT | ERG ChIP-Seq - 18 h, DHT | FOXP1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, POU2F1 KD + DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq - C4- Rep 2B",,,
TP53,ACADL,bone,"TP53 IP | TP53 OE, TP53 IP | NUTL3, TP53 IP - Rep 2, TP53 IP | TP53EE/RR OE, TP53 IP | NUTL3 - SJSA-1",,,
USF1,ACADL,liver,USF1 IP - HepG2 cells,,,
FOXA1,ACADL,mammarygland,"FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2",,,
FOXA1,ACADL,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, FOXA1 + FBS | GATA2 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD  | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, POU2F1 KD + DHT | FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 KD | FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - LNCaP-abl, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq, FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , DHT | FOXA1 ChIP-Seq - C4- Rep 2B, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2",,,
GATA2,ACADL,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 + FBS | GATA2 ChIP-Seq, CON KD + R1881 | GATA2 ChIP-Seq, GATA2 ChIP-Seq - Rep 2, GATA2 ChIP-Seq - Rep 1, GATA2 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq",,,
ZBTB7A,ACADL,uterus,ZBTB7A IP - ECC1 cells,,,
RELA,ACADL,adiposetissue,"RELA IP, RELA IP, RELA IP",,,
TP53,ACADL,colon,TP53 IP | NUTL3 - HCT-116,,,
YY1,ACADL,stemcells,YY1 IP - H1 cells,,,
FOXP1,ACADL,prostate,DHT | FOXP1 ChIP-Seq,,,
CEBPB,ACADL,colon,"CEBPB IP, CEBPB IP | 125DVD3",,,
CEBPB,ACADL,uterus,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells",,,
USF1,ACADL,uterus,USF1 IP - ECC1 cells,,,
