TF,TargetGene,Tissue,chea,signor,trrust,Experiment
ATF3,CBR4,stemcells,,,,ATF3 IP - H1 cells
CTCF,CBR4,megakaryocytelineage,,,,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 10 "
MAZ,CBR4,leukocytes,,,,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
TBP,CBR4,leukocytes,,,,"TBP IP - GM12878 cells, TBP IP - K562 cells"
TCF7L2,CBR4,pancreas,,,,TCF7L2 IP
E2F8,CBR4,colon,,,,E2F8 IP 
GTF2B,CBR4,lung,,,,GTF2B IP
CTCF,CBR4,kidney,,,,"CTCF IP - HRE cells, Rep 2 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - HRE cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 "
FOXP2,CBR4,cns,,,,"FOXP2 IP - SK cells, FOXP2 IP - PFSK-1 cells"
FOXA1,CBR4,liver,,,,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
E2F1,CBR4,mammarygland,,,,"E2F1 IP, E2F1 IP - MCF7 cells"
CTCF,CBR4,hspcs,,,,"CTCF IP - HEL 92.1.7 cells, Rep 14 , CTCF IP - HEL 92.1.7 cells, Rep 8 , CTCF IP - HEL 92.1.7 cells, Rep 5 , CTCF IP - Erythroid cells, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 11 "
POU2F2,CBR4,leukocytes,,,,POU2F2 IP - GM12878 cells
RELA,CBR4,leukocytes,,,,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM19099 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM15510 cells"
TNF,CBR4,leukocytes,,,,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells"
CTCF,CBR4,cns,,,,"CTCF IP - SK-N-SH cells , CTCF IP - SK-N-SH cells, Rep 1 , CTCF IP - BE(2)-C cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - NHA cells , CTCF IP - spinal cord astrocyte cells, Rep 2 , CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - SK cells, CTCF IP - HCPEpiC cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 2 , CTCF IP - BE(2)-C cells, Rep 1 "
CTCF,CBR4,colon,,,,"CTCF IP - Caco , CTCF IP - Rep 1 , CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, CTCF IP - Rep 2 , CTCF IP - HCT116 cells, Rep 1 "
CREB1,CBR4,leukocytes,,,,"CREB1 IP, CREB1 IP, CREB1 IP - K562 cells, CREB1 IP - GM12878 cells"
STAT3,CBR4,leukocytes,,,,"STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY19, STAT3 IP - SU-DHL-4, STAT3 IP - OCI-LY3, STAT3 IP - OCI-LY10, STAT3 IP - SU-DHL-2, STAT3 IP - OCI-LY7, STAT3 IP - U-2932"
GMEB2,CBR4,colon,,,,GMEB2 IP 
CTCF,CBR4,mammarygland,,,,"CTCF IP - HMEC cells, Rep 1 , CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 1 , CTCF IP - MCF7 cells, CTCF IP - HMF cells, Rep 2 , CTCF IP - HMEC cells , CTCF IP - HMEC cells, Rep 2 "
CTCF,CBR4,vasculature,,,,"CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 "
FOXA1,CBR4,lung,,,,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells"
CTCF,CBR4,lung,,,,"CTCF IP - HPF cells, Rep 1 , CTCF IP - SAEC cells, Rep 1 , CTCF IP - NHLF cells , CTCF IP - AG04450 cells, Rep 2 , CTCF IP - HPF cells, Rep 2 , CTCF IP - A549 cells, CTCF IP - NHLF cells , CTCF IP - A549 cells, Rep 2 , CTCF IP - AG04450 cells, Rep 1 , CTCF ChIP-Seq - A549, CTCF IP - IMR cells, CTCF IP | DEX - A549 cells , CTCF IP | DEX - A549 cells, CTCF IP - A549 cells , CTCF IP - SAEC cells, Rep 2 "
JUN,CBR4,mammarygland,,,,"JUN IP - Rep 1, JUN IP - Rep 2"
REST,CBR4,cns,,,,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - U87 cells, REST IP - SK-N-SH cells, REST IP - PFSK1 cells, Rep 2, REST IP - SK cells"
ZNF76,CBR4,kidney,,,,ZNF76 IP | ZNF76 OE
CEBPB,CBR4,stemcells,,,,"CEBPB IP, CEBPB IP, CEBPB IP"
MYB,CBR4,leukocytes,,,,"MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 3, MYB IP - MOLT3"
SPI1,CBR4,leukocytes,,,,"SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP, SPI1 IP - U-937 cells, Rep 10 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 1 , ROSI | SPI1 ChIP-Seq, SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - GM12878 cells, Rep 3 "
CREB1,CBR4,lung,,,,"CREB1 IP - A549 cells, Rep 1, CREB1 IP | DEX - A549 cells, CREB1 IP - A549 cells, Rep 2"
REST,CBR4,colon,,,,REST IP 
ZNF143,CBR4,leukocytes,,,,"ZNF143 IP - HPB-ALL, ZNF143 IP - K562 cells, ZNF143 IP - GM12878 cells, ZNF143 IP - K562"
FOSL2,CBR4,lung,,,,FOSL2 IP - A549 cells
GATA1,CBR4,leukocytes,,,,GATA1 ChIP-Seq - SC266
OTX2,CBR4,stemcells,,,,"OTX2 IP - Rep 2 , OTX2 IP - Rep 8 , OTX2 IP - Rep 10 , OTX2 IP - Rep 3 "
ZNF143,CBR4,uterus,,,,"ZNF143 IP - HeLa cells, ZNF143 IP - HeLa, Rep 1, ZNF143 Ip - HeLa, Rep 2"
RUNX1,CBR4,leukocytes,,,,"RUNX1 IP, SPI1 IP | RUNX1 KD, RUNX1 IP"
FOSL2,CBR4,liver,,,,FOSL2 IP - HepG2 cells
MAX,CBR4,leukocytes,,,,"MAX IP - K562 cells, Rep 1, MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - K562 cells"
FOXP1,CBR4,leukocytes,,,,"FOXP1 IP - BJAB, FOXP1 IP - HT, FOXP1 IP - OCI-LY19, FOXP1 IP - OCI-LY10"
IRF1,CBR4,leukocytes,,,,"IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min"
IFNA1,CBR4,leukocytes,,,,"IRF1 IP | IFNA1-13 - K562 cells, 6 h, JUN IP | IFNA1-13 - 30 min "
FOXA2,CBR4,liver,,,,FOXA2 IP - HepG2 cells
TP53,CBR4,lung,,,,"TP53 IP | TP53 KD - senescent, TP53 IP - growing, TP53 IP - senescent"
CTCF,CBR4,stemcells,,,,"CTCF IP - H1 cells, CTCF IP - H1 cells , CTCF IP - Rep 5 , CTCF IP - Rep 6 "
ELF1,CBR4,cns,,,,ELF1 IP - SK-N-SH cells
ZNF143,CBR4,stemcells,,,,ZNF143 IP - H1 cells
E2F3,CBR4,colon,,,,E2F3 IP 
SP1,CBR4,leukocytes,,,,SP1 IP - GM12878 cells
TCF7L2,CBR4,mammarygland,,,,"DHT | TCF7L2 ChIP-Seq, TCF7L2 ChIP-Seq"
DHT,CBR4,mammarygland,,,,"DHT | TCF7L2 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
USF1,CBR4,colon,,,,USF1 IP - HCT116 cells
TCF12,CBR4,lung,,,,TCF12 IP - A549 cells
ERG,CBR4,prostate,,,,"DMSO | ERG ChIP-Seq - Rep 2, JQI | ERG ChIP-Seq - Rep 2, DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq"
GABPA,CBR4,leukocytes,,,,"GABPA IP - HL cells, GABPA IP - GM12878 cells, Rep 2 , GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, GABPA IP - K562 cells, GABPA IP - GM12878 cells, Rep 5 , GABPA IP - GM12878 cells, Rep 4 , GABPA IP, GABPA IP - Jurkat, Rep 1, GABPA IP - GM12878 cells, Rep 3 , GABPA IP - GM12878 cells, Rep 1 "
CREB1,CBR4,prostate,,,,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2"
GABPA,CBR4,liver,,,,"GABPA IP, GABPA IP, GABPA IP, GABPA IP - MCF7 cells, GABPA IP - HepG2 cells"
CEBPB,CBR4,leukocytes,,,,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB ChIP-Seq - K562, CEBPB IP - Rep 204, CEBPB IP"
NANOG,CBR4,stemcells,,,,"NANOG IP - Rep 2 , NANOG IP - Rep 2, NANOG IP - Rep 8 , NANOG IP - H1 cells, NANOG IP - Rep 1, NANOG IP - Rep 6 , NANOG IP - Rep 5 , NANOG IP - Rep 4 , NANOG IP - Rep 3 , NANOG IP - Rep 9 "
CDX2,CBR4,colon,,,,"CDX2 IP | 125DVD3, CDX2 IP"
125DVD3,CBR4,colon,,,,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3, TCF4 IP | 125DVD3"
FOS,CBR4,mammarygland,,,,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h"
4HT,CBR4,mammarygland,,,,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, E2F4 IP | 4HT - MCF10 cells"
YY1,CBR4,cns,,,,"YY1 IP | ATRA - SK-N-SH cells, YY1 IP - SK-N-SH cells"
ATRA,CBR4,cns,,,,"YY1 IP | ATRA - SK-N-SH cells, USF1 IP | ATRA - SK-N-SH cells"
ETS1,CBR4,leukocytes,,,,"ETS1 IP, ETS1 IP - GM12878 cells, ETS1 IP - K562 cells"
FOXA1,CBR4,mammarygland,,,,"17BE2 | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2"
17BE2,CBR4,mammarygland,,,,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
ZBTB7A,CBR4,uterus,,,,ZBTB7A IP - ECC1 cells
REST,CBR4,leukocytes,,,,"REST IP - GM12878 cells, Rep 2"
E2F1,CBR4,uterus,,,,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1"
CEBPB,CBR4,colon,,,,"CEBPB IP | 125DVD3, CEBPB IP, CEBPB IP - HCT116 cells"
CEBPB,CBR4,lung,,,,CEBPB ChIP-Seq - IMR90
ETV5,CBR4,colon,,,,ETV5 IP 
GABPA,CBR4,prostate,,,,"GABPA IP | R1881, GABPA IP - Rep 2, GABPA IP - Rep 1"
ELK1,CBR4,leukocytes,,,,ELK1 IP - GM12878 cells
DEX,CBR4,mammarygland,,,,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2"
IRF1,CBR4,colon,,,,IRF1 IP 
MAX,CBR4,uterus,,,,"MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1"
REST,CBR4,stemcells,,,,"REST IP - H1 cells, Rep 1"
TEAD4,CBR4,liver,,,,TEAD4 IP - HepG2 cells
CREB1,CBR4,liver,,,,"CREB1 IP, CREB1 IP, CREB1 IP, CREB1 IP - HepG2 cells"
MAX,CBR4,liver,,,,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
ZNF384,CBR4,leukocytes,,,,"ZNF384 IP - GM12878 cells, ZNF384 IP - K562 cells"
MYC,CBR4,leukocytes,,,,"MYC IP | IFNG - K562 cells, 30 min, MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 6 h"
IFNG,CBR4,leukocytes,,,,"MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5, IRF1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 4, STAT1 IP - Rep 3, IRF1 IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 1, MYC IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 2"
KLF11,CBR4,adiposetissue,,,,"KLF11 ChIP-Seq, Rep 2"
CTCF,CBR4,heart,,,,"CTCF IP - myocytes cells, Rep 2 , CTCF IP - HCF cells , CTCF IP - myocytes cells, Rep 1 "
ELF1,CBR4,liver,,,,ELF1 IP - HepG2 cells
SIX5,CBR4,leukocytes,,,,"SIX5 IP - GM12878 cells, SIX5 IP - K562 cells, Rep 2, SIX5 IP - K562 cells, Rep 1"
ELF3,CBR4,pancreas,,,,"ELF3 IP | KLF5 KO, ELF3 IP, ELF3 IP"
KLF5,CBR4,pancreas,,,,"ELF3 IP | KLF5 KO, KLF5 IP"
CTCF,CBR4,adiposetissue,,,,"CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - d 3"
GATA4,CBR4,stemcells,,,,"GATA4 IP - Rep 8 , GATA4 IP - Rep 9 , GATA4 IP - Rep 10 "
GTF2B,CBR4,uterus,,,,GTF2B IP - Rep 2
ARID3A,CBR4,liver,,,,ARID3A IP - HepG2 cells
STAT1,CBR4,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
IFNG,CBR4,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
TCF3,CBR4,leukocytes,,,,TCF3 IP - GM12878 cells
ZNF143,CBR4,kidney,,,,ZNF143 IP - HEK293-T-rex
ATF3,CBR4,colon,,,,"ATF3 IP | CAMPTO, ATF3 IP - HCT116 cells"
CTCF,CBR4,placenta,,,,"CTCF IP - HVMF cells, Rep 2 , CTCF IP - HVMF cells, Rep 1 "
HEY1,CBR4,leukocytes,,,,HEY1 IP - K562 cells
JUND,CBR4,stemcells,,,,JUND IP - H1 cells
SRF,CBR4,colon,,,,SRF IP - HCT116 cells
JUND,CBR4,cns,,,,"JUND IP - SK-N-SH cells , JUND IP - SK-N-SH cells"
JUND,CBR4,lung,,,,JUND IP - A549 cells
GATA3,CBR4,mammarygland,,,,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells"
CREB1,CBR4,stemcells,,,,CREB1 IP - H1 cells
HEY1,CBR4,liver,,,,HEY1 IP - HepG2 cells
CEBPB,CBR4,uterus,,,,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells"
MAZ,CBR4,uterus,,,,MAZ IP - HeLa cells
RUNX1T1,CBR4,leukocytes,,,,RUNX1T1 IP
EOMES,CBR4,stemcells,,,,"EOMES IP - Rep 1 , EOMES IP - Rep 2 , EOMES IP - Rep 3 "
ELF1,CBR4,mammarygland,,,,ELF1 IP - MCF7 cells
FOXA1,CBR4,stemcells,,,,"FOXA1 IP - Rep 5 , FOXA1 IP - ES D7, FOXA1 IP - ES D2"
JUN,CBR4,leukocytes,,,,"JUN IP | IFNA1-13 - 30 min , JUN IP - K562 cells, Rep 2"
FOXM1,CBR4,mammarygland,,,,FOXM1 IP | THSP - DS006
MXI1,CBR4,liver,,,,MXI1 IP - HepG2 cells
GABPA,CBR4,lung,,,,GABPA IP - A549 cells
ELF1,CBR4,leukocytes,,,,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
RBPJ,CBR4,leukocytes,,,,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
COMPE,CBR4,leukocytes,,,,"RBPJ IP | COMPE - wash, RBPJ IP | COMPE"
SP1,CBR4,colon,,,,SP1 IP - HCT116 cells
YY1,CBR4,lung,,,,YY1 IP - A549 cells
MTA3,CBR4,leukocytes,,,,MTA3 IP - GM12878 cells
CTCF,CBR4,uterus,,,,"CTCF IP - HeLa cells , CTCF IP - HeLa cells, Rep 1 "
SRF,CBR4,uterus,,,,SRF IP - ECC1 cells
CEBPB,CBR4,liver,,,,"CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells, CEBPB IP - HepG2 cells"
SP1,CBR4,liver,,,,SP1 IP - HepG2 cells
SOX2,CBR4,stemcells,,,,SOX2 IP
YY1,CBR4,leukocytes,,,,"YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, Rep 2, YY1 IP - K562 cells"
MAZ,CBR4,lung,,,,MAZ IP - IMR cells
FOXA2,CBR4,embryonictissue,,,,"FOXA2 IP - Rep 2, FOXA2 IP - Rep 1"
RELA,CBR4,colon,,,,RELA IP 
GATA4,CBR4,stomach,,,,GATA4 IP - AGS
ATF2,CBR4,stemcells,,,,ATF2 IP - H1 cells
DEX,CBR4,lung,,,,"FOXA1 IP | DEX - A549 cells, CREB1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells , CTCF IP | DEX - A549 cells"
GATA2,CBR4,hspcs,,,,GATA2 IP
TAL1,CBR4,leukocytes,,,,TAL1 IP - MOLT3
TEAD4,CBR4,uterus,,,,TEAD4 IP - ECC1 cells
CEBPA,CBR4,leukocytes,,,,CEBPA IP
STAT5A,CBR4,leukocytes,,,,STAT5A IP - GM12878 cells
THAP11,CBR4,stemcells,,,,"THAP11 IP - Rep 4 , THAP11 IP - Rep 5 , THAP11 IP - Rep 2 , THAP11 IP - Rep 1 , THAP11 IP - Rep 3 "
SIX2,CBR4,kidney,,,,"SIX2 IP - 17 weeks, Rep 2, SIX2 IP - 17 weeks, Rep 1"
GTF2F1,CBR4,uterus,,,,GTF2F1 IP - HeLa cells
TAL1,CBR4,colon,,,,TAL1 IP 
MYC,CBR4,colon,,,,MYC IP - DTT
E2F6,CBR4,leukocytes,,,,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
MXI1,CBR4,lung,,,,MXI1 IP - IMR cells
CEBPB,CBR4,mammarygland,,,,CEBPB IP - MCF7 cells
YY1,CBR4,liver,,,,YY1 IP - HepG2 cells
TCF21,CBR4,vasculature,,,,TCF21 IP
HIF1A,CBR4,bone,,,,HIF1A IP
PBX3,CBR4,cns,,,,PBX3 IP - SK-N-SH cells
STAT1,CBR4,leukocytes,,,,"STAT1 IP - Rep 5, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 2"
FOXA2,CBR4,stemcells,,,,"FOXA2 IP - Rep 1 , FOXA2 IP - ES D2, FOXA2 IP - ES D10, FOXA2 IP - ES D7, FOXA2 IP - Rep 5 , FOXA2 IP - ES D5"
E2F6,CBR4,stemcells,,,,E2F6 IP - H1 cells
FOXM1,CBR4,leukocytes,,,,FOXM1 IP - GM12878 cells
CTCF,CBR4,pancreas,,,,CTCF IP
EBF1,CBR4,leukocytes,,,,EBF1 IP - GM12878 cells
CTCF,CBR4,miscellaneous,,,,"CTCF IP - AG09319 cells, Rep 2 , CTCF IP - AG09319 cells, Rep 1 "
BHLHE40,CBR4,leukocytes,,,,"BHLHE40 IP - K562 cells, BHLHE40 IP - GM12878 cells"
RUNX1,CBR4,hspcs,,,,RUNX1
MYC,CBR4,mammarygland,,,,"MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq"
CTCF,CBR4,liver,,,,"CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells , CTCF IP, CTCF IP - HepG2 cells, Rep 1 "
SRF,CBR4,stemcells,,,,"SRF IP - Rep 1 , SRF IP - Rep 7 , SRF IP - H1 cells"
JUND,CBR4,mammarygland,,,,JUND IP - T47D cells
TBP,CBR4,stemcells,,,,TBP IP - H1 cells
PAX5,CBR4,leukocytes,,,,"PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1"
JUND,CBR4,liver,,,,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
HOXA6,CBR4,colon,,,,HOXA6 IP 
E2F6,CBR4,uterus,,,,E2F6 IP - HeLa cells
CTCF,CBR4,esophagus,,,,"CTCF IP - HEEpiC cells, Rep 1 , CTCF IP - HEEpiC cells, Rep 2 "
FORSK,CBR4,liver,,,,CEBPB IP | FORSK - HepG2 cells
CTCF,CBR4,bone,,,,CTCF IP - Osteoblasts 
GATA2,CBR4,leukocytes,,,,GATA2 IP - K562 cells
FLI1,CBR4,hspcs,,,,FLI1 IP
JUN,CBR4,colon,,,,JUN IP 
ZNF280D,CBR4,colon,,,,ZNF280D IP 
ZNF143,CBR4,colon,,,,ZNF143 IP 
MYBL2,CBR4,liver,,,,MYBL2 IP - HepG2 cells
ETS1,CBR4,lung,,,,ETS1 IP - A549 cells
YY1,CBR4,uterus,,,,YY1 IP - ECC1 cells
TP53,CBR4,mammarygland,,,,TP53 IP
MAX,CBR4,vasculature,,,,MAX IP - HUVEC cells
JQ1,CBR4,prostate,,,,JQI | ERG ChIP-Seq - Rep 2
CTCF,CBR4,skeletalmuscle,,,,"CTCF IP - HSMM cells, Rep 1 , CTCF IP - HSMM cells, Rep 2 "
TBP,CBR4,liver,,,,TBP IP - HepG2 cells
GATA2,CBR4,cns,,,,GATA2 ChIP-Seq SH-SY5Y
IRF4,CBR4,leukocytes,,,,IRF4 IP
TEAD4,CBR4,leukocytes,,,,TEAD4 IP - K562 cells
ATF1,CBR4,leukocytes,,,,ATF1 IP - K562 cells
YY1,CBR4,stemcells,,,,YY1 IP - H1 cells
TCF12,CBR4,cns,,,,TCF12 IP - SK-N-SH cells
GLI2,CBR4,colon,,,,GLI2 IP 
JUNB,CBR4,colon,,,,JUNB IP 
DHT,CBR4,prostate,,,,"DHT | FOXA1 ChIP-Seq, DHT | ERG ChIP-Seq - 18 h"
TCF12,CBR4,uterus,,,,TCF12 IP - ECC1 cells
EGR1,CBR4,leukocytes,,,,"EGR1 IP - GM12878 cells, Rep 1"
ELK1,CBR4,uterus,,,,ELK1 IP - HeLa cells
GTF2B,CBR4,leukocytes,,,,GTF2B IP - K562 cells
ASCL1,CBR4,skin,,,,ASCL1 IP - NHDF
SREBF1,CBR4,liver,,,,SREBF1 IP | INS + 22RHC - HepG2 cells
22RHC; INS,CBR4,liver,,,,SREBF1 IP | INS + 22RHC - HepG2 cells
USF1,CBR4,cns,,,,USF1 IP | ATRA - SK-N-SH cells
E2F4,CBR4,mammarygland,,,,E2F4 IP | 4HT - MCF10 cells
REST,CBR4,lung,,,,REST IP - A549 cells
ELF1,CBR4,lung,,,,ELF1 IP - A549 cells
USF1,CBR4,stemcells,,,,USF1 IP - H1 cells
ROSI,CBR4,leukocytes,,,,ROSI | SPI1 ChIP-Seq
ZEB1,CBR4,liver,,,,ZEB1 IP - HepG2 cells
EGR1,CBR4,colon,,,,EGR1 IP - HCT116 cells
ELF1,CBR4,colon,,,,ELF1 IP - HCT116 cells
REST,CBR4,pancreas,,,,"REST IP - Panc1 cells, Rep 3"
ZFP42,CBR4,stemcells,,,,ZFP42 IP - Rep 2 
CREB1,CBR4,uterus,,,,CREB1 IP - ECC1 cells
CAMPTO,CBR4,colon,,,,TP53 IP | CAMPTO
ATF2,CBR4,leukocytes,,,,ATF2 IP - GM12878 cells
JUND,CBR4,vasculature,,,,JUND IP
GABPA,CBR4,uterus,,,,GABPA IP - HeLa cells
BAY082,CBR4,leukocytes,,,,"RELA IP | BAY082  - IVD Th1 cells, PIA"
ATF2,CBR4,colon,,,,ATF2 IP 
TEAD4,CBR4,stemcells,,,,TEAD4 IP - H1 cells
JUND,CBR4,leukocytes,,,,JUND IP - K562 cells
SIX5,CBR4,lung,,,,SIX5 IP | DEX - A549 cells
E2F6,CBR4,lung,,,,E2F6 IP - A549 cells
TCF4,CBR4,colon,,,,"TCF4 IP, TCF4 IP | 125DVD3"
CREB1,CBR4,colon,,,,CREB1 IP 
YY1,CBR4,colon,,,,YY1 IP - HCT116 cells
MAX,CBR4,colon,,,,MAX IP - HCT116 cells
TBP,CBR4,uterus,,,,TBP IP - HeLa cells
TCF7L2,CBR4,uterus,,,,TCF7L2 IP - HeLa cells
JUND,CBR4,colon,,,,JUND IP - HCT116 cells
MXI1,CBR4,cns,,,,MXI1 IP - SK-N-SH cells 
GATA6,CBR4,stomach,,,,"GATA6 IP - YCC3, GATA6 IP - AGS"
MXI1,CBR4,leukocytes,,,,MXI1 IP - GM12878 cells
FOSL1,CBR4,colon,,,,FOSL1 IP - HCT116 cells
ERG,CBR4,leukocytes,,,,ERG IP - Rep 1
USF1,CBR4,liver,,,,USF1 IP - HepG2 cells
SP1,CBR4,lung,,,,SP1 IP - A549 cells
UBTF,CBR4,leukocytes,,,,UBTF IP - K562 cells
STAT2,CBR4,colon,,,,STAT2 IP 
SRF,CBR4,mammarygland,,,,SRF IP - MCF7 cells
E2F4,CBR4,leukocytes,,,,E2F4 IP - K562 cells
GATA3,CBR4,cns,,,,GATA3 IP - SK-N-SH cells
GABPA,CBR4,cns,,,,GABPA IP - SK-N-SH cells
ATF3,CBR4,leukocytes,,,,ATF3 IP - K562 cells
MAX,CBR4,cns,,,,MAX IP - SK-N-SH cells
TBP,ECHS1,leukocytes,,,,"TBP IP - GM12878 cells, TBP IP - K562 cells"
YY1,ECHS1,leukocytes,,,,"YY1 IP - GM12892 cells, Rep 1, YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12891 cells"
HMBOX1,ECHS1,lung,,,,HMBOX1 IP
CREB1,ECHS1,liver,,,,"CREB1 IP, CREB1 IP - HepG2 cells"
