Physiological System,Tissue,Types
Metabolic,adiposetissue,"WAT, adipocytes, hMADs-derived"
Metabolic,adiposetissue,"BrAT, adipocytes, hMADs-derived"
Metabolic,adiposetissue,"WAT, adipocytes, SGBS cells"
Metabolic,adiposetissue,"WAT, adipocytes, hASC-derived"
Metabolic,kidney,"epithelium, HEK293-T-Rex cells"
Metabolic,kidney,"epithelium, HEK293 cells"
Metabolic,kidney,"epithelial cells, RPTEC"
Metabolic,liver,"epithelium, HepG2 cells"
Metabolic,pancreas,"duct, epithelium, CFPAC-1 cells"
Metabolic,skeletalmuscle,HSMMs
Metabolic,thyroidgland,"parafollicular, MTC, TT cells"
Blood,erythroidlineage,"erythroblasts, bone marrow"
Blood,erythroidlineage,"erythroblasts, bone marrow, HEL 92.1.7 cells"
Blood,erythroidlineage,"erythroid cells, bone marrow"
Blood,hspcs,"bone marrow, CD34+"
Blood,megakaryocytelineage,"megakaryoblasts, MEG-01 cells"
Blood,progenitors,
Blood,other,
Cardiovascular,blood,
Cardiovascular,bonemarrow,
Cardiovascular,heart,myocytes
Cardiovascular,heart,"fibroblasts, HCFs"
Cardiovascular,vasculature,"smooth muscle, whole"
Cardiovascular,vasculature,"endothelium, HBMECs, 1° cells"
Cardiovascular,vasculature,"other, HPAFs, 1° cells"
Cardiovascular,vasculature,"other, AoAFCs, 1° cells"
Cardiovascular,vasculature,"endothelium, HUVECs, 1° cells"
Cardiovascular,other,
Female reproductive,mammarygland,"epithelium, T47D cells"
Female reproductive,mammarygland,"epithelium, MDA-MB-453 cells"
Female reproductive,mammarygland,"epithelium, MDA-MB-231 LM2 cells"
Female reproductive,mammarygland,"epithelium, MCF-10A cells"
Female reproductive,mammarygland,"epithelium, MDA-MB-231 cells"
Female reproductive,mammarygland,"epithelium, MCF-7 cells"
Female reproductive,mammarygland,"other, fibroblasts, HMFs"
Female reproductive,ovary,
Female reproductive,oviduct,
Female reproductive,placenta,HVMFs
Female reproductive,uterus,"endometrium, epithelium, cervical, HeLa cells"
Female reproductive,uterus,"cervix, epithelial, HeLa cells"
Female reproductive,uterus,"endometrium, epithelium, ECC-1 cells"
Female reproductive,vagina,
Female reproductive,other,
Gastrointestinal,bileduct,
Gastrointestinal,colon,"epithelium, LS180 cells"
Gastrointestinal,colon,"epithelium, HCT116 cells"
Gastrointestinal,colon,"epithelium, LoVo cells"
Gastrointestinal,duodenum,
Gastrointestinal,esophagus,
Gastrointestinal,lleum,
Gastrointestinal,jejunum,
Gastrointestinal,rectum,
Gastrointestinal,stomach,"epithelium, AGS cells"
Gastrointestinal,stomach,"epithelium, KATO III cells"
Gastrointestinal,other,
Immune,leukocytes,B lymphocytes
Immune,leukocytes,T lymphoblasts
Immune,leukocytes,macrophages
Immune,leukocytes,promyelocytes
Immune,leukocytes,lymphocytes
Immune,leukocytes,T lymphocytes
Immune,leukocytes,lymphoblasts
Immune,leukocytes,myeloblasts
Immune,lymphnode,
Immune,spleen,
Immune,thymus,
Immune,other,
Male Reproductive,prostate,"epithelium, DU145 cells"
Male Reproductive,prostate,"epithelium, VCaP cells"
